Horses,Assay,Time_hour,Dosage
Ine,Sainfoin,0,0
Icilifairy,Sainfoin,0,0
Ilivala,Sainfoin,0,0
Iena,Sainfoin,0,0
Imbala,Sainfoin,0,0
Iritabella,Sainfoin,0,0
Itropi,Sainfoin,0,0
Idomissyou,Sainfoin,0,0
Imeethappy,Sainfoin,0,0
Inechai,Sainfoin,0,0
Ilsouri,Control,0,0
Itarki,Control,0,0
Iscashe,Control,0,0
Ilander,Control,0,0
Iplat,Control,0,0
Ispiritusantu,Control,0,0
Iegadelavega,Control,0,0
Ipflap,Control,0,0
Ivaliente,Control,0,0
Iquissyoubi,Control,0,0
Ine,Sainfoin,1,0.28
Icilifairy,Sainfoin,1,0.28
Ilivala,Sainfoin,1,1.68
Iena,Sainfoin,1,0.28
Imbala,Sainfoin,1,0.47
Iritabella,Sainfoin,1,0.91
Itropi,Sainfoin,1,0.53
Idomissyou,Sainfoin,1,0.83
Imeethappy,Sainfoin,1,0.5
Inechai,Sainfoin,1,1.82
Ilsouri,Control,1,0.3
Itarki,Control,1,0.84
Iscashe,Control,1,1.6
Ilander,Control,1,0.41
Iplat,Control,1,0.34
Ispiritusantu,Control,1,0.27
Iegadelavega,Control,1,0.97
Ipflap,Control,1,1.15
Ivaliente,Control,1,2.22
Iquissyoubi,Control,1,0.24
Ine,Sainfoin,2,0.69
Icilifairy,Sainfoin,2,0.92
Ilivala,Sainfoin,2,2.5
Iena,Sainfoin,2,0.47
Imbala,Sainfoin,2,1.9
Iritabella,Sainfoin,2,1.93
Itropi,Sainfoin,2,1.18
Idomissyou,Sainfoin,2,3.88
Imeethappy,Sainfoin,2,0.79
Inechai,Sainfoin,2,4.12
Ilsouri,Control,2,0.81
Itarki,Control,2,3.65
Iscashe,Control,2,2.8
Ilander,Control,2,1.14
Iplat,Control,2,1.41
Ispiritusantu,Control,2,1.3
Iegadelavega,Control,2,1.93
Ipflap,Control,2,2.28
Ivaliente,Control,2,4.55
Iquissyoubi,Control,2,0.8
Ine,Sainfoin,24,3.33
Icilifairy,Sainfoin,24,3.66
Ilivala,Sainfoin,24,2.85
Iena,Sainfoin,24,2.82
Imbala,Sainfoin,24,5.46
Iritabella,Sainfoin,24,4.22
Itropi,Sainfoin,24,4.18
Idomissyou,Sainfoin,24,3.57
Imeethappy,Sainfoin,24,3.38
Inechai,Sainfoin,24,4.85
Ilsouri,Control,24,4.21
Itarki,Control,24,6.6
Iscashe,Control,24,7.25
Ilander,Control,24,7.24
Iplat,Control,24,4.31
Ispiritusantu,Control,24,7.44
Iegadelavega,Control,24,10.24
Ipflap,Control,24,6.38
Ivaliente,Control,24,7.85
Iquissyoubi,Control,24,6.9
Ine,Sainfoin,48,1.91
Icilifairy,Sainfoin,48,2.26
Ilivala,Sainfoin,48,1.56
Iena,Sainfoin,48,1.84
Imbala,Sainfoin,48,4.66
Iritabella,Sainfoin,48,3.5
Itropi,Sainfoin,48,2.37
Idomissyou,Sainfoin,48,2.64
Imeethappy,Sainfoin,48,3.4
Inechai,Sainfoin,48,4.23
Ilsouri,Control,48,3.43
Itarki,Control,48,4.45
Iscashe,Control,48,6.81
Ilander,Control,48,5.7
Iplat,Control,48,2.5
Ispiritusantu,Control,48,6.83
Iegadelavega,Control,48,5.77
Ipflap,Control,48,5.96
Ivaliente,Control,48,6.21
Iquissyoubi,Control,48,4.51
Ine,Sainfoin,72,1.9
Icilifairy,Sainfoin,72,1.64
Ilivala,Sainfoin,72,1.9
Iena,Sainfoin,72,1.25
Imbala,Sainfoin,72,3.32
Iritabella,Sainfoin,72,2.37
Itropi,Sainfoin,72,1.53
Idomissyou,Sainfoin,72,1.83
Imeethappy,Sainfoin,72,2.32
Inechai,Sainfoin,72,3.25
Ilsouri,Control,72,2.35
Itarki,Control,72,2.86
Iscashe,Control,72,5.46
Ilander,Control,72,3.21
Iplat,Control,72,1.51
Ispiritusantu,Control,72,4.64
Iegadelavega,Control,72,3.57
Ipflap,Control,72,4.24
Ivaliente,Control,72,4.63
Iquissyoubi,Control,72,2.91
Ine,Sainfoin,96,0.87
Icilifairy,Sainfoin,96,1.39
Ilivala,Sainfoin,96,0.94
Iena,Sainfoin,96,0.98
Imbala,Sainfoin,96,2.89
Iritabella,Sainfoin,96,1.75
Itropi,Sainfoin,96,1.26
Idomissyou,Sainfoin,96,1.3
Imeethappy,Sainfoin,96,2.2
Inechai,Sainfoin,96,2.9
Ilsouri,Control,96,1.92
Itarki,Control,96,2.14
Iscashe,Control,96,4.9
Ilander,Control,96,2.83
Iplat,Control,96,1.27
Ispiritusantu,Control,96,3.24
Iegadelavega,Control,96,3.24
Ipflap,Control,96,3.76
Ivaliente,Control,96,3.65
Iquissyoubi,Control,96,2.27
