ID,n,Group,EPG,day
ICILIFAIRYBOULETTE,1,Sainfoin,0,36
IDOMISSYOUBOULETTE,2,Sainfoin,0,36
IEGADELAVEGABOULE,3,Control,0,36
IENABOULETTE,4,Sainfoin,0,36
ILANDER,5,Control,0,36
ILIVALABOULETTE,6,Sainfoin,0,36
IMEETHAPPYBOULETTE,9,Sainfoin,0,36
INEBOULETTE,10,Sainfoin,0,36
IPFLAPBOULETTE,12,Control,0,36
IPLATBOULETTE,13,Control,0,36
IQUISSYOUBIBOULETTE,14,Control,0,36
IRITABELLA,15,Sainfoin,0,36
ISPIRITUSANTU,17,Control,0,36
ITARKIBOULETTE,19,Control,0,36
ITROPIBOULETTE,21,Sainfoin,0,36
IVALIENTE,22,Control,0,36
ICILIFAIRYBOULETTE,1,Sainfoin,0,50
IDOMISSYOUBOULETTE,2,Sainfoin,0,50
IEGADELAVEGABOULE,3,Control,0,50
IENABOULETTE,4,Sainfoin,0,50
ILANDER,5,Control,0,50
ILIVALABOULETTE,6,Sainfoin,0,50
IMEETHAPPYBOULETTE,9,Sainfoin,0,50
INEBOULETTE,10,Sainfoin,0,50
IPFLAPBOULETTE,12,Control,0,50
IPLATBOULETTE,13,Control,0,50
IQUISSYOUBIBOULETTE,14,Control,0,50
IRITABELLA,15,Sainfoin,0,50
ISPIRITUSANTU,17,Control,0,50
ITARKIBOULETTE,19,Control,0,50
ITROPIBOULETTE,21,Sainfoin,0,50
IVALIENTE,22,Control,0,50
ICILIFAIRYBOULETTE,1,Sainfoin,0,63
IDOMISSYOUBOULETTE,2,Sainfoin,0,63
IEGADELAVEGABOULE,3,Control,0,63
IENABOULETTE,4,Sainfoin,50,63
ILANDER,5,Control,0,63
ILIVALABOULETTE,6,Sainfoin,0,63
IMEETHAPPYBOULETTE,9,Sainfoin,0,63
INEBOULETTE,10,Sainfoin,0,63
IPFLAPBOULETTE,12,Control,0,63
IPLATBOULETTE,13,Control,0,63
IQUISSYOUBIBOULETTE,14,Control,100,63
IRITABELLA,15,Sainfoin,0,63
ISPIRITUSANTU,17,Control,0,63
ITARKIBOULETTE,19,Control,0,63
ITROPIBOULETTE,21,Sainfoin,0,63
IVALIENTE,22,Control,0,63
ICILIFAIRYBOULETTE,1,Sainfoin,0,71
IDOMISSYOUBOULETTE,2,Sainfoin,50,71
IEGADELAVEGABOULE,3,Control,0,71
IENABOULETTE,4,Sainfoin,250,71
ILANDER,5,Control,0,71
ILIVALABOULETTE,6,Sainfoin,50,71
IMEETHAPPYBOULETTE,9,Sainfoin,50,71
INEBOULETTE,10,Sainfoin,0,71
IPFLAPBOULETTE,12,Control,0,71
IPLATBOULETTE,13,Control,0,71
IQUISSYOUBIBOULETTE,14,Control,100,71
IRITABELLA,15,Sainfoin,100,71
ISPIRITUSANTU,17,Control,0,71
ITARKIBOULETTE,19,Control,50,71
ITROPIBOULETTE,21,Sainfoin,50,71
IVALIENTE,22,Control,0,71
ICILIFAIRYBOULETTE,1,Sainfoin,50,78
IDOMISSYOUBOULETTE,2,Sainfoin,250,78
IEGADELAVEGABOULE,3,Control,0,78
IENABOULETTE,4,Sainfoin,100,78
ILANDER,5,Control,0,78
ILIVALABOULETTE,6,Sainfoin,0,78
IMEETHAPPYBOULETTE,9,Sainfoin,0,78
INEBOULETTE,10,Sainfoin,100,78
IPFLAPBOULETTE,12,Control,50,78
IPLATBOULETTE,13,Control,0,78
IQUISSYOUBIBOULETTE,14,Control,150,78
IRITABELLA,15,Sainfoin,150,78
ISPIRITUSANTU,17,Control,50,78
ITARKIBOULETTE,19,Control,0,78
ITROPIBOULETTE,21,Sainfoin,50,78
IVALIENTE,22,Control,0,78
